episode,left_vel_viol_frames,left_freeze_jump_frames,left_max_vel_frac,right_vel_viol_frames,right_freeze_jump_frames,right_max_vel_frac,frames
439,9,0,1.9594613597181259,5,0,1.7320238166233417,238
440,9,0,1.3456223163586518,9,0,1.507793174204421,219
441,3,0,1.81406076908567,4,0,1.241848333289539,227
442,2,0,1.5552528016091305,4,0,1.5013264607791117,240
443,6,0,1.8633240546742962,5,0,1.0942840040163606,219
444,7,0,1.7808874015480196,12,0,1.53275051226247,216
445,5,0,1.6256369424071218,5,0,1.5830656040705378,207
446,8,0,1.5474300375412846,10,0,1.9806326244029981,250
447,11,0,1.5223661603080507,13,0,1.7214260288045424,224
448,3,0,2.1140768739760434,10,0,1.40303942398902,225
449,9,0,1.598462302454791,11,0,2.5552005412585417,198
450,6,0,1.7982268310663467,14,0,2.0716832201027713,201
451,6,0,1.9325033732562713,9,0,2.0764792705561392,199
452,5,0,1.3397660581065909,17,0,1.5853651615131894,229
453,7,0,1.7820507521387954,9,0,2.385372805845886,209
454,6,0,1.9360820885032501,14,0,2.0761878966374296,209
455,6,0,1.2455309543521333,14,0,1.9815736012791265,216
456,8,0,2.1503237894635716,11,0,1.9480155486659767,201
457,7,0,2.1846236836488973,13,0,1.748538103805003,206
458,7,0,2.384616127442266,12,0,2.3843992951947843,187
459,6,0,1.7854389124180778,9,0,2.050730396478429,201
460,7,0,3.0136879490120934,7,0,2.5225353798870827,197
461,7,0,1.5148930449426572,7,0,2.3850045664148776,186
462,8,0,1.5950930904180753,6,0,2.0765854522173135,173
463,8,0,2.365362746667725,15,0,1.5836710540476362,195
464,12,0,1.7623721084485422,11,0,2.7184700396591523,200
